,IR,guitar_mapping,mic_mapping,excitation_type,excitation_length,has_ring,volume,if_params,weiner_params,acdw_params,Inverse_Filtering_Similarity_Melody,Inverse_Filtering_Correlation_Melody,Weiner_Similarity_Melody,Weiner_Correlation_Melody,ACDW_Similarity_Melody,ACDW_Correlation_Melody,Inverse_Filtering_Similarity_Chords,Inverse_Filtering_Correlation_Chords,Weiner_Similarity_Chords,Weiner_Correlation_Chords,ACDW_Similarity_Chords,ACDW_Correlation_Chords
38,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,5s_excitation,no_ring,med,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",7.5721818259261294e-06,,8.321535785637237e-06,,8.018163283676344e-06,,4.64553169488073e-06,,2.7328892044972066e-06,,4.890162259260526e-06,
39,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,5s_excitation,no_ring,med,{'ir_length': np.int64(52920)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.74765952558588e-06,,5.604295760294953e-06,,2.3898236723232547e-06,,3.614236752716675e-06,,3.1510331698349533e-06,,3.237971774219674e-06,
40,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,10s_excitation,ring,loud,{'ir_length': np.int64(264600)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.478682118132441e-06,,5.9509631697980516e-06,,8.860745409769903e-06,,2.753143326155817e-06,,3.920838024480051e-06,,4.252592520288376e-06,
41,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,10s_excitation,ring,loud,{'ir_length': np.int64(58800)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.860756916920331e-06,,6.232567125774873e-06,,3.16419631183169e-06,,3.5303345940020056e-06,,2.8487483932861087e-06,,2.7552966835391543e-06,
42,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,10s_excitation,ring,med,{'ir_length': np.int64(132300)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.286092946671887e-06,,5.156829293664066e-06,,5.229224770313402e-06,,3.465876721709778e-06,,3.1174055827004252e-06,,4.288753410433491e-06,
43,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,10s_excitation,ring,med,{'ir_length': np.int64(58800)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.984716574752054e-06,,3.6846193571395297e-06,,2.9230025841022045e-06,,2.8649214143276584e-06,,2.5266765827124833e-06,,2.9225826078615014e-06,
44,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,10s_excitation,no_ring,loud,{'ir_length': np.int64(58800)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",6.811220790852264e-06,,5.880270847214035e-06,,5.0638254291662085e-06,,3.091438763771741e-06,,3.720942720821356e-06,,4.159412549835475e-06,
45,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,10s_excitation,no_ring,loud,{'ir_length': np.int64(75600)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",6.7998033969169e-06,,6.125416406219721e-06,,2.4981403851943446e-06,,2.473053556747813e-06,,3.99596957964025e-06,,3.418322228691322e-06,
46,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,10s_excitation,no_ring,med,{'ir_length': np.int64(529200)},"{'ir_length': np.int64(529200), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.2618126250122495e-06,,4.819910469741754e-06,,7.588277298520083e-06,,3.5672428217846216e-06,,2.708143172656792e-06,,4.719905125843355e-06,
47,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,10s_excitation,no_ring,med,{'ir_length': np.int64(88200)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.920053455110178e-06,,5.076991524781693e-06,,2.4438362742625017e-06,,2.5885450356217792e-06,,2.788045773190202e-06,,3.2733962995941175e-06,
